uid,title,types,sourceTypes,source,names,links,citations,identifiers,keywords
BCI:BCI202200469352,<i>Illustrated</i> FLORA OF TAJIKISTAN <i>and adjacent areas</i> Abstracts,['Book'],['Book'],"{'publishYear': 2020, 'pages': {}}","{'bookEditors': [{'displayName': 'Nowak, A'}, {'displayName': 'Nobis, M'}], 'editors': [{'displayName': 'Nowak, A'}, {'displayName': 'Nobis, M'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200469352&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{'isbn': '978-83-938900-5-7(H)'},{'authorKeywords': []}
BCI:BCI202200378750,Water-Carbon Dynamics in Eastern Siberia,['Book'],['Book'],"{'publishYear': 2019, 'volume': '236', 'pages': {}}","{'bookEditors': [{'displayName': 'Ohta, T'}, {'displayName': 'Hiyama, T'}, {'displayName': 'Iijima, Y'}, {'displayName': 'Kotani, A'}, {'displayName': 'Maximov, TC'}], 'editors': [{'displayName': 'Ohta, T'}, {'displayName': 'Hiyama, T'}, {'displayName': 'Iijima, Y'}, {'displayName': 'Kotani, A'}, {'displayName': 'Maximov, TC'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200378750&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{'isbn': '978-981-13-6316-0(H)'},{'authorKeywords': []}
BCI:BCI202200339832,Ecological Physiology of Daily Torpor and Hibernation,['Book'],['Book'],"{'publishYear': 2021, 'pages': {}}","{'authors': [{'displayName': 'Geiser, F'}], 'books': [{'displayName': 'Geiser, F'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200339832&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]","{'doi': '10.1007/978-3-030-75525-6', 'isbn': '978-3-030-75524-9(H)'}",{'authorKeywords': []}
BCI:BCI202200227119,Land Cover and Land Use Change on Islands:Social & Ecological Threats to Sustainability,['Book'],['Book'],"{'publishYear': 2020, 'pages': {}}","{'bookEditors': [{'displayName': 'Walsh, SJ'}, {'displayName': 'Riveros-Iregui, D'}, {'displayName': 'Arce-Nazario, J'}, {'displayName': 'Page, PH'}], 'editors': [{'displayName': 'Walsh, SJ'}, {'displayName': 'Riveros-Iregui, D'}, {'displayName': 'Arce-Nazario, J'}, {'displayName': 'Page, PH'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200227119&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{'isbn': '978-3-030-43972-9(H)'},{'authorKeywords': []}
BCI:BCI202200211337,"Forest Fires:Causes, Effects, Monitoring, Precautions and Rehabilitation Activities",['Book'],['Book'],"{'publishYear': 2021, 'volume': '33', 'pages': {}}","{'bookEditors': [{'displayName': 'Kavzoglu, T'}], 'editors': [{'displayName': 'Kavzoglu, T'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200211337&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{'isbn': '978-605-2249-79-6(P)'},{'authorKeywords': []}
BCI:BCI202200228140,No-till Farming Systems for Sustainable Agriculture:Challenges and Opportunities,['Book'],['Book'],"{'publishYear': 2020, 'pages': {}}","{'bookEditors': [{'displayName': 'Dang, YP'}, {'displayName': 'Dalal, RC'}, {'displayName': 'Menzies, NW'}], 'editors': [{'displayName': 'Dang, YP'}, {'displayName': 'Dalal, RC'}, {'displayName': 'Menzies, NW'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200228140&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]","{'doi': '10.1007/978-3-030-46409-7', 'isbn': '978-3-030-46408-0(H)'}",{'authorKeywords': []}
BCI:BCI202200173638,Ecosystem Collapse and Climate Change,['Book'],['Book'],"{'publishYear': 2021, 'volume': '241', 'pages': {}}","{'bookEditors': [{'displayName': 'Jackson, RB'}, {'displayName': 'Canadell, JG'}], 'editors': [{'displayName': 'Jackson, RB'}, {'displayName': 'Canadell, JG'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200173638&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{'isbn': '978-3-030-71329-4(H)'},{'authorKeywords': []}
BCI:BCI202200126562,Climate Change and Vegetation-One Global Overview,['Book'],['Book'],"{'publishYear': 2020, 'pages': {}}","{'authors': [{'displayName': 'Hauck, M'}, {'displayName': 'Leuschner, C'}, {'displayName': 'Homeier, J'}], 'books': [{'displayName': 'Hauck, M'}, {'displayName': 'Leuschner, C'}, {'displayName': 'Homeier, J'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200126562&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{'isbn': '978-3-662-59790-3(H)'},{'authorKeywords': []}
BCI:BCI202200119875,Endophytes for a Growing World,['Book'],['Book'],"{'publishYear': 2019, 'pages': {}}","{'bookEditors': [{'displayName': 'Doohan, FM'}, {'displayName': 'Saunders, MJ'}, {'displayName': 'Murphy, BR'}, {'displayName': 'Hodkinson, TR'}], 'editors': [{'displayName': 'Doohan, FM'}, {'displayName': 'Saunders, MJ'}, {'displayName': 'Murphy, BR'}, {'displayName': 'Hodkinson, TR'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200119875&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{'isbn': '978-1-108-47176-3(P)'},{'authorKeywords': []}
BCI:BCI202200118854,Climate Change Impacts on Basin Agro-Ecosystems,['Book'],['Book'],"{'publishYear': 2019, 'volume': '18', 'pages': {}}","{'bookEditors': [{'displayName': 'Watanabe, T'}, {'displayName': 'Kapur, S'}, {'displayName': 'Aydin, M'}, {'displayName': 'Kanber, R'}, {'displayName': 'Akca, E'}], 'editors': [{'displayName': 'Watanabe, T'}, {'displayName': 'Kapur, S'}, {'displayName': 'Aydin, M'}, {'displayName': 'Kanber, R'}, {'displayName': 'Akca, E'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200118854&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]","{'doi': '10.1007/978-3-030-01036-2', 'isbn': '978-3-030-01035-5(H)'}",{'authorKeywords': []}
BCI:BCI202200043376,Carbon Sequestration in Agricultural Ecosystems,['Book'],['Book'],"{'publishYear': 2018, 'pages': {}}","{'authors': [{'displayName': 'Lorenz, K'}, {'displayName': 'Lal, R'}], 'books': [{'displayName': 'Lorenz, K'}, {'displayName': 'Lal, R'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI202200043376&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{'isbn': '978-3-319-92317-8(H)'},{'authorKeywords': []}
